customer_experience,NPS,date,primary_category
"Because it takes forever for recordings to download.  And when we get the zip download link, there's no identification to it.",4,5/5/2022,Product
great products.  price is too high,8,5/5/2022,Cost
good product great support,8,5/5/2022,Product
"Signal sidearm activator is a great concept, however is in need of significant improvement!",8,5/5/2022,Product
abysmal API,4,5/5/2022,Product
"Like the products use them every day,  licensing pricing for camera systems can be hard for small agencies",8,5/5/2022,Cost
"Where do I start...â€¦I have been working with Axon for a replacement on an in car camera for about three months.  Prior to getting Axon approval for replacement of the entire in-car camera system I worked with Axon Tech Support to correct issue which was clearly a faulty non-repairable in-car system.  The back and forth with Axon Tech Support was about 4-5 months in which we went around and around over the same problem.  After getting Axon to agree with replacement, and completing requested info.....The replacement fell into the internet AXON black hole and I haven't heard a darn thing since.  I know the University of North Dakota Police Department is a small agency and small contract but the customer service from Axon is terrible.  I also had to request information on additional licenses for  evidence.com multiple times (60 days) before getting quote.  The new replacement unit for UPD is still unresolved, not to mention Axon not fulfilling it's original contract to install all six in car units, they installed five because one of the UPD units was in the replacement loop.  UPD paid for six.....Recently received email from Axon advising UPD would be receiving new body camera 3's.  Filled out the Field Trail Agreement and email back and haven't heard anything back, that was about six weeks ago.  Not sure what to think about anything Axon at this time.  Products are great but if you have any issues.....Good luck getting anything resolved.",2,5/5/2022,Sales
It often takes a while to get answers. I wasn't impressed with the communication regarding implementation.,6,5/5/2022,Customer Service
Really good product but sometimes getting hold of a Rep. can be difficult at times.  It seems like or Rep. changes frequently.,8,5/5/2022,Sales
"A couple of years ago this would have been a 10.  I have been a strong voice for Axon in our law enforcement community in the past.  However, the responsiveness to our questions/concerns/issues has fallen off tremendously.  While everyone is kind and helpful once they reach back out, I find it is VERY difficult to get our needs met in a timely manner.",6,5/5/2022,Sales
"Your products are fairly reliable and while not cheap, not out of the price range our small department can afford.",7,5/4/2022,Cost
AXON is pricing strategy are making it more difficult to retain their products for small rural police agencies. I see emails constantly for small rural police agencies asking if anyone else is using something other than AXON for safety equipment and body worn cameras.,7,5/4/2022,Cost
"Our experience has not been stellar so far. 75% of the taser 7s were purchased were out of service with in the first year for operability issues. Not acceptable. We also lined up fleet cameras over a year ago and have not received them as of yet, and Axon wanted us to pay for them and the service! Not acceptable.",4,5/4/2022,Product
"Our experience has not been stellar so far. 75% of the taser 7s were purchased were out of service with in the first year for operability issues. Not acceptable. We also lined up fleet cameras over a year ago and have not received them as of yet, and Axon wanted us to pay for them and the service! Not acceptable.",4,5/4/2022,Sales
"Good product; however, I feel that our customer service is lacking. May be due to the fact we only have 5 cameras at this time. We are in the process of outfitting our entire office this budget cycle, increasing to approximately 40 cameras. If we choose AXON, I would hope our service would be better.",6,5/4/2022,Customer Service
"The Brighton Police Department has been in contact with AXON sales / customer service representatives on numerous occasions regarding two body worn cameras that were sent in for service back in December of 2021. We were told the cameras are done and AXON is waiting for payment. We just recently signed a new contract and were told the cameras will be covered in warranty but have not yet received the cameras or a call back from the AXON Representative regarding the status. We have utilized AXON BWC since 2016 and were the first police agency to use AXON within Monroe County, N.Y. Can someone please call me back regarding this issue??",0,5/4/2022,Customer Service
PRODUCT IS GREAT BUT PRICE IS EXTREMELY HIGH.,8,5/4/2022,Cost
AXON NEEDS TO IMPROVE THE REDACTION STUDIO,8,5/4/2022,Product
Product is good with minor bugs,8,5/4/2022,Product
"Took us 4 months to get ahold of a service rep to buy need products as a long time pre-existing customer.
There are other companies out there with better pricing for bodycams.",7,5/3/2022,Sales
Invoicing has been an issue for several months. No resolve since this issue started on 2021.,5,5/3/2022,Customer Service
"As a small agency, we always seem to have to chase our sales people, even after being customers for 15+ years, I don't see this happening for major cities.  When I need something I have to track a salesperson who has changed 3 times since last called",3,5/3/2022,Sales
"The sales presentation is great. Implementation didn't go as well.

The number of people we've had to deal with has not been efficient.

The concern for successful deployment has been less than expected.",7,5/3/2022,Customer Service
"Missed target dates for delivery/install of equipment, no clear line of communication. The ability to reach the correct person to address problems is cumbersome. It appears that there is no communication between Axon employees, and the conversations we have with axon are redundant because of it. We are getting billed for products and services that aren't in use due to delays from axon.",1,5/3/2022,Sales
"I have always had great success with Axon. Recently, I was frustrated by the fact that I cannot get a clear answer on a question relating to your CEWs. The legal team never replied to two of my emails and my Sales Manager (who has been great, by the way) indicated Axon would not be able to answer my question, mostly for liability reasons. I understand legal and liability issues, but I think it is important for Axon to be able to direct agencies on how to best use their product in the safest and most efficient way possible.",7,4/29/2022,Others
Axon makes a great product the only hold back is the cost of storage.,8,4/29/2022,Cost
"It would have been higher, however, the fact we paid for auto-tagging in Jan and it still doesn't work.",6,4/29/2022,Product
Reliablity and market leader. Pricing and slower pace of release of new features than competitors is primary downside. Redaction software is unusable and every Axon customer I work with has had to purchase redaction software seperate from Axon - something I would have to say to anyone asking if I recommend Axon's product.,7,4/29/2022,Cost
Reliablity and market leader. Pricing and slower pace of release of new features than competitors is primary downside. Redaction software is unusable and every Axon customer I work with has had to purchase redaction software seperate from Axon - something I would have to say to anyone asking if I recommend Axon's product.,7,4/29/2022,Product
"I first reached out on January 14, 2022 to order a couple Cradlepoints and an antennae. I then learned that Lindsey McElroy no longer was working there so I emailed Mary Dunn. Dunn emailed back saying she was out of the office but to email Lily Yost. So after getting passed around I then began a fourth month frustrating process of trying to contact Yost in order to receive a quote and have the items I needed sent to me. I would email, call, and text with no response or I would receive a response and nothing was completed for four months. I finally received all of my items last week, four months after I first reached out. It is not my goal to get anyone in trouble or in hot water from your company but this was an extremely frustrating process and because of it my officers suffered by not having the equipment I was trying to order. I would recommend further training on basic customer service skills for whomever would be selling equipment to police departments. The only saving grace was Michelle McDonald, anytime I would call or email she was immediately responsive and apologetic for the situation.",3,4/29/2022,Sales
"The equipment is great. However the cost for annual user/subscription fees for all equipment Taser7, BWC, Evidence.com is very challenging for small agencies under 40 officers.",6,4/29/2022,Cost
Variety of products that can work together but very expensive,8,4/27/2022,Cost
"For larger departments, I would absolutely recommend Axon products; however, for many smaller departments, the price is not going to be within range.",8,4/20/2022,Cost
The video footage is really good but the battery life on the body 3 is horrible and the center button keeps getting stuck on a lot of the cameras. Which prevents officers from being able to use the camera since you can not activate it.,5,4/14/2022,Product
"The video quality is good and transmitting is easy.  I've had numerous camera batteries break and they need to be replaced.  Axon does replace them free of charge, but the down time of not having the equipment is difficult on the agency.  My department was recently due to replace all of our camera.  The cameras were supposed to be sent in July and I did not receive them until months later.  It took numerous emails with numerous people over several months to get the new cameras sent to me.  The communication was very poor as I was never given a reason as to why it took this long.  My department was paying for a service and we were not getting what we were paying for.  The cameras themselves work great, but the service we have received is not even close to what I expect for what we signed up for.",5,4/11/2022,Product
"The video quality is good and transmitting is easy.  I've had numerous camera batteries break and they need to be replaced.  Axon does replace them free of charge, but the down time of not having the equipment is difficult on the agency.  My department was recently due to replace all of our camera.  The cameras were supposed to be sent in July and I did not receive them until months later.  It took numerous emails with numerous people over several months to get the new cameras sent to me.  The communication was very poor as I was never given a reason as to why it took this long.  My department was paying for a service and we were not getting what we were paying for.  The cameras themselves work great, but the service we have received is not even close to what I expect for what we signed up for.",5,4/11/2022,Customer Service
"The video quality is good and transmitting is easy.  I've had numerous camera batteries break and they need to be replaced.  Axon does replace them free of charge, but the down time of not having the equipment is difficult on the agency.  My department was recently due to replace all of our camera.  The cameras were supposed to be sent in July and I did not receive them until months later.  It took numerous emails with numerous people over several months to get the new cameras sent to me.  The communication was very poor as I was never given a reason as to why it took this long.  My department was paying for a service and we were not getting what we were paying for.  The cameras themselves work great, but the service we have received is not even close to what I expect for what we signed up for.",5,4/11/2022,Customer Service
"We were given access to log in and start an account, navigating and finding what we are supposed to be learning been issue.",3,4/11/2022,Product
Price Point is high,6,4/11/2022,Cost
Axon excels at offering a wide variety of the latest technologies available for Law Enforcement.  Where Axon falls short is the subscription pricing models that make many of the products cost prohibitive for most medium sized agencies.,8,4/11/2022,Cost
Extreme delays in receiving items back from RMA.,3,4/10/2022,Customer Service
"As a Canadian I did not need to go trough the 4th amendment and there was a few times repetitions on the video of the same thing.  

The course was ok, but without the hands on, I was not to sure about it.",7,4/8/2022,Training
"Frustrated with dates of equipment being pushed back.  I understand there are supply issues, but we have been billed and paid for items that are more than 4 months behind.  Requested an adjusted invoice and has not been provided yet.",8,4/8/2022,Sales
"Frustrated with dates of equipment being pushed back.  I understand there are supply issues, but we have been billed and paid for items that are more than 4 months behind.  Requested an adjusted invoice and has not been provided yet.",8,4/8/2022,Customer Service
3 Cameras have already stopped functioning properly. Accounting and billing is difficult to work with and I am always directed to speak to someone else regarding billing issues. Most of the time it takes days to get a return call from accounting. The exception was this last call when someone named Rebecca returned my call the same day.,7,4/8/2022,Product
3 Cameras have already stopped functioning properly. Accounting and billing is difficult to work with and I am always directed to speak to someone else regarding billing issues. Most of the time it takes days to get a return call from accounting. The exception was this last call when someone named Rebecca returned my call the same day.,7,4/8/2022,Customer Service
"I am still waiting on V.R training equipment, along with training for the equipment. Also waiting on fleet activation and installation into our vehicles. We have been waiting since October of 2021!",6,4/8/2022,Sales
I like Axon products but the price is high for a small police department.,8,4/8/2022,Cost
Does not always connect. Have had trouble with videos uploading in a timely fashion.,8,4/7/2022,Product
"The outrageous cost and the upcoming nonsupport of functional, yet aged x26P Taser(s), is completely unacceptable - a captive market, in-which highway robbery is commonplace. Eventually, maybe in the near future, our department will completely do away with Taser(s) all together!",1,4/7/2022,Cost
"Having issues with an order, getting too many cartridges and no battery packs which were ordered. Also received unsolicited cartridges that no one in our agency or Axon knows where the order came from. My purchasing staff has had a difficult time correcting this issue. I will be contacting Axon shortly.",5,4/7/2022,Sales
"Having issues with an order, getting too many cartridges and no battery packs which were ordered. Also received unsolicited cartridges that no one in our agency or Axon knows where the order came from. My purchasing staff has had a difficult time correcting this issue. I will be contacting Axon shortly.",5,4/7/2022,Customer Service
Axon and Taser products are amazing and top of the line. Could be a little less expensive and training courses more frequent.,8,4/7/2022,Training
"Issues with interview room cameras and support.  100% positive service with body and Fleet / Terrible Interview Room

Issues with past due invoices that we paid.  Mystery items appearing on invoices.",8,4/7/2022,Product
"Issues with interview room cameras and support.  100% positive service with body and Fleet / Terrible Interview Room

Issues with past due invoices that we paid.  Mystery items appearing on invoices.",8,4/7/2022,Customer Service
I wish pricing was a little more consumer friendly.,8,4/7/2022,Cost
"The web based system is great.  We like Evidence.com.  I am not happy with Axon being a for profit business who continually tries sell us the new products.  We are happy with the Body 2s and the Taser X2s, but Axon tells us we need the newer versions.  No we don't.  These work great and are simple to use.  Don't tell us what we need so you can make more money.

I am also not happy with Axon's requirements for Taser Instructors.  You require instructors to re-certify every two years, and the re-certification process is the same as it is for new instructors.  The re-cert class should be an on-line class.  You charge too much money for the classes and require the agency to purchase way too many Taser cartridges which are also over priced.  Your training cartridges are just about the same cost as a real cartridge.  Also, in talking with our Taser instructors, the Taser Instructor Re-certification class is more of a sales pitch on the newest and latest Taser than it is training on how to be an instructor.  Stop trying to sell us more and new stuff.  

I would rate the above question as a 9 or 10 if you weren't trying to be salesmen.  Kurt Sorenson, Sutherlin Police Department",6,4/7/2022,Cost
"The web based system is great.  We like Evidence.com.  I am not happy with Axon being a for profit business who continually tries sell us the new products.  We are happy with the Body 2s and the Taser X2s, but Axon tells us we need the newer versions.  No we don't.  These work great and are simple to use.  Don't tell us what we need so you can make more money.

I am also not happy with Axon's requirements for Taser Instructors.  You require instructors to re-certify every two years, and the re-certification process is the same as it is for new instructors.  The re-cert class should be an on-line class.  You charge too much money for the classes and require the agency to purchase way too many Taser cartridges which are also over priced.  Your training cartridges are just about the same cost as a real cartridge.  Also, in talking with our Taser instructors, the Taser Instructor Re-certification class is more of a sales pitch on the newest and latest Taser than it is training on how to be an instructor.  Stop trying to sell us more and new stuff.  

I would rate the above question as a 9 or 10 if you weren't trying to be salesmen.  Kurt Sorenson, Sutherlin Police Department",6,4/7/2022,Training
"The web based system is great.  We like Evidence.com.  I am not happy with Axon being a for profit business who continually tries sell us the new products.  We are happy with the Body 2s and the Taser X2s, but Axon tells us we need the newer versions.  No we don't.  These work great and are simple to use.  Don't tell us what we need so you can make more money.

I am also not happy with Axon's requirements for Taser Instructors.  You require instructors to re-certify every two years, and the re-certification process is the same as it is for new instructors.  The re-cert class should be an on-line class.  You charge too much money for the classes and require the agency to purchase way too many Taser cartridges which are also over priced.  Your training cartridges are just about the same cost as a real cartridge.  Also, in talking with our Taser instructors, the Taser Instructor Re-certification class is more of a sales pitch on the newest and latest Taser than it is training on how to be an instructor.  Stop trying to sell us more and new stuff.  

I would rate the above question as a 9 or 10 if you weren't trying to be salesmen.  Kurt Sorenson, Sutherlin Police Department",6,4/7/2022,Sales
Overpriced. Overrated. Will charge extra for any little convenience. Mainly way overpriced and not always reliable.,0,4/7/2022,Cost
"I think overall the Axon brand is a good brand but I do think there are issues that need to be addressed and I don't feel like things will change. The first one is the battery pack for the Flex Cameras, we have had so many pop apart because they expand while in the charger. It seemed the problem was never addressed, yes we'd have to pack them up and send them back and we'd get replacements but you would think a solution could have been had. Second was the actual cost of products. Granted our cameras where on a grant but all the tasers we used were not. It seemed as technology grew and Axon grew the price point also grew to where smaller agencies could not afford Tasers, taser equipment and so forth. It used to be you could buy  a Taser and it came with everything as one set price and now everything is nickeled and dimed. Again I understand the need to make money but I also understand that Axon wants to provide for law enforcement but its seems the goal is about the bottom line. Lastly it could be an IT thing or Axon issue but every time I log into Axon Evidence.com I have to get a authentication code. It use to do it every blue moon, then every few months and then every time I log in. Even if I just closed it out and logged back in I had to get another code. Also being an administrator you think the system would recognize the privileges when it came to editing and so forth, that we would be authorized but again always needed a code. It just gets time consuming. These all might be minor things and or personal complaints but in the end it was enough to change my thoughts on Axon.",5,4/7/2022,Cost
"Signing up for classes is not very user friendly and, it is hard to figure out how to sign up for a class once you have found one that you would like to attend.",7,4/7/2022,Training
"Axon alone is a great company and offers awesome tools for many types of services. Booking a training using a voucher credit was not an easy process, that could use improvements.",7,4/6/2022,Training
"Company and products designed with the idea the user a poor quality employee, rather than the user being their employer; but their products work after a fashion.",4,4/6/2022,Product
Camera malfunctions.  RMA cameras not returned repaired or returned over the last 6 - 10 months.,4,4/6/2022,Product
Camera malfunctions.  RMA cameras not returned repaired or returned over the last 6 - 10 months.,4,4/6/2022,Customer Service
The only thing that keeps this from being a 10 is the fact that we have had Taser 7s on order since December and have yet to receive them.,8,4/6/2022,Sales
"In my opinion you offer the best products on the market, however your customer service has been deteriorating the last few years.",8,4/6/2022,Customer Service
Malfunctioning side arm sensors have been an issue with numerous officers.,7,4/6/2022,Product
"The training material is great, the cost to become an instructor is alright.",8,4/6/2022,Cost
Great products just difficult for a small department cost wise,8,4/6/2022,Cost
pricing and quote numbers all over....why can you not just say we want this % profit margin....if you buy 10 Fleet 3...the cost is this....not well...if your dallas you get this price and if your someone else you get this price and so on...it is so confusing on the quotes as well.,7,4/6/2022,Cost
Axon has become less focused on the customer. The ordering process does not flow well. Others cameras offer a better size camera. The sharing of videos is a complicated process.,3,4/5/2022,Customer Service
I think they are growing too fast for them to catch up. There are many siloes at Axon working on our different projects and it's challenging to get high level overviews and progress reports.,5,4/5/2022,Customer Service
Terrible web interfaces. Too many hands in the pot for service requests and work orders.,0,4/5/2022,Product
Terrible web interfaces. Too many hands in the pot for service requests and work orders.,0,4/5/2022,Customer Service
The hardware and software technology is really good and relatively easy to use. The complexity of the system and integration of it to a department seems that it might be somewhat overwhelming for smaller departments. I would suggest any department with 20 officers or more use AXON.,8,4/5/2022,Product
phenomenal equipment however the cost is extremely high for small agency like ours.,8,4/5/2022,Cost
Some of their products are good.  Most services are expensive.,5,4/5/2022,Cost
"Axon is a great company overall, but in terms of BWC, they're a little behind, particularly in redaction software and AI. We have dissuaded several agencies from moving forward with the redaction software, because a competitor is far superior (i.e., MotionDSP). The redaction software is one of my largest issues with Axon. I've brought this up several times with Axon but there seems to have been few updates with the Redaction Studio since it's inception.",7,4/5/2022,Product
"Website is EXTREMELY difficult to navigate to register, pay etc. has been difficult for years and frustrating",4,4/5/2022,Others
The trining module was very unorganized and very difficult to navigate. The material covered was written by a lawyer and not the end user.,5,4/5/2022,Training
"Products are nice, TASER longevity is great, Body 2 longevity or their docks longevity is iffy. I don't handle pricing or purchasing but from what I hear, they are too expensive for our agency to be willing to upgrade to Body 3's and TASER 7s.",7,4/5/2022,Product
We are very happy with the evidence.com and our body cameras (Axon 2).  We would most likely switch to the in-car system if is wasn't for the increase in user license fees.,8,4/5/2022,Cost
Unable to participate due to vaccination requirements?  Limits our ability to recommend this company for training/equipment.,1,4/5/2022,Training
I feel like customer service has significantly declined. Existing customers are only prioritized if purchasing large items.,5,4/5/2022,Customer Service
Products are far too expensive.,4,4/5/2022,Cost
"like the system, but repeatedly having to put in multi factor authentication code when working on system makes it frustrating",7,4/5/2022,Product
Products are overpriced and monopolistic.  Innovation is corporate vs. product development.,6,4/5/2022,Cost
Makes it user friendly and easy to navigate software.,8,4/5/2022,Product
"Axon makes really good products, and so far your customer service has been good, but the licencing for some of your value added products, such as auto redaction, Axon performance and auto tagging are really expensive. This prevents me from giving a higher rating.",8,4/5/2022,Cost
"Previously , I selected a much higher rating and in fact did recommend and encourage other allied law enforcement executives to partner with Axon.  However, I have grown extremely disappointed and frustrated with our sales support and/or CSM, and can not at this time.  I have had numerous representatives in a fairly short amount of time and am still waiting on quotes and information, including our up coming transition to AB3 and all that needs to happen prior.  Despite requests for information and an add on request that I presume would enhance our DEM and add to Axon's profit - nothing.  Personally, I feel single point of sales has not been good as the taser and BWC/FLEET/Interview are very different items and often fall under different areas of responsibility within the police department.  As the Captain, I maintain responsibility of DEM program - I want my team member to know more DEM and technology than me.  Conversely, my firearm instructors and less lethal officers should be speaking with those subject experts about tasers.",2,4/5/2022,Customer Service
"The product is great, pricing strategy is ridiculous.",8,4/5/2022,Cost
I DID NEED MORE HELP,5,4/5/2022,Customer Service
"Video is excellent, but expensive overall. LL tools are useful, but budgetary concerns must be thought of also. Over-reliance is an issue that must be corrected through training, which takes time and budget.",5,4/5/2022,Cost
"I like the offerings that Axon has and we use several of them, but Axon's prices are so high that it limits our ability to use more and other Axon products.  Reducing prices would allow us expanded opportunities and greater numbers of devices.",8,4/5/2022,Cost
Most part works well. Some more battery life on cameras would be helpful,7,4/5/2022,Product
"The system is slow.
Computer crashes happen often and is a big Officer safety.
The narrative updates are small print and are hard to see when and scroll up. It should be reformatted.
From an officer and Sgt.'s perspective, there is no timer to keep track on how long we've been on a call.
Difficult to navigate how long a call has been holding. 
Messages sent/received are delayed.",1,4/5/2022,Product
"We like Axon training and products, however the voucher system is not ideal for managing more than a few people. We have over three hundred law enforcement officers who sign up for training and then need to purchase a voucher to pay for this training.  Also Axon does not notify anyone signed up for training that training has been canceled or rescheduled, this is not right at all.  The voucher system is hard to manage with this many LEO's.",6,4/5/2022,Training
"I am not a fan of the auto tagging feature. It doubles my work and I have to go through every single video each day and wait for it to load and play it to recall what the incident was. It makes it even more difficult to figure out which incident is tagged correctly and which are not because it auto tags each one with something so I can't even start off with incidents that are just labeled standard ""axon..."" they all look like an incident number. Before Axon, I was able to tag things within 10-20 minutes for the whole week. With this system it is about 20 minutes daily if not more.",8,4/5/2022,Product
Technology is great and very helpful. Only issue has been random activations.,8,4/5/2022,Product
Need better customer service,8,4/5/2022,Customer Service
"The product is excellent but the costs, especially for storage, are substantial. They are so substantial we are starting to evaluate other products on the market to look at cost savings.",6,4/5/2022,Cost
"I find the redaction difficult.  When I auto the MDT screens, it does not catch all of them or cover them and also it will catch other items such as windows, phones, or electronic signs or billboards as well.  It is very cumbersome to redact a moving face and auto facial recognition will redact all faces instead of the one I need.",6,4/5/2022,Product
Your repair process/system sucks. The fact that you mark tasers as training only after they've been sent to you for repair should be illegal. You've got a monopoly on the CEW market so we're forced to do business with you. AXON/TASER is just a crappy organization to do business with.,3,4/5/2022,Customer Service
The sales reps were very helpful during the evaluation and purchase process. Support has been very helpful and immediately available every time I have called. Our field reps have maintained contact after the purchase and the deployments of the taser devices so far in the field have been effective. The only reason for not rating a higher likelihood is the cost of the devices in comparison to the expected service life.,7,4/5/2022,Cost
Not offering much value for the cost of everything.,4,4/5/2022,Cost
poor customer service   failure to warranty items  MIS schools just make super users   making the bullet obsolete comment   far too much to list,4,4/5/2022,Customer Service
poor customer service   failure to warranty items  MIS schools just make super users   making the bullet obsolete comment   far too much to list,4,4/5/2022,Training
The training class was not good.,5,4/5/2022,Training
"Still dealing with issues form purchase years prior, cant seem to find anybody to take ownership of issue and provide a response.  Long range planning is impossible for lack of information on EOL of the VieVu line since acquired by Axon",1,4/5/2022,Customer Service
"Still dealing with issues form purchase years prior, cant seem to find anybody to take ownership of issue and provide a response.  Long range planning is impossible for lack of information on EOL of the VieVu line since acquired by Axon",1,4/5/2022,Sales
"Great products, but price can be an issue for many.",7,4/5/2022,Cost
"Because while the Axon product is not 100% perfect, improvements and fixes are being applied constantly towards that goal. Support staff and our CSM are always ready to assist when we need it.",8,3/30/2022,Product
"Axon has been incredibly flexible with pricing for my agency.  My only concern is that moving forward, the price increases may be substantial.  The customer service has been top notch throughout my experience with them.",8,3/30/2022,Cost
Great program but evidence being held via Recorded On Date  instead of Uploaded Date leads to evidence being deleted prematurely.  There needs to be a toggle function to allow agencies to pick how they want their evidence retained.,6,3/29/2022,Product
"The product is extremely helpful but when there are issues, they seem to take forever to fix.",6,3/28/2022,Product
Pricing can be an obstacle.,8,3/24/2022,Cost
"Very expensive, but fills a lot of our needs with easy to use tools.",8,3/21/2022,Cost
"I like the product and the capabilities but the application is lacking. The portable microphones for in car video are horrible. They lose signal 10 feet away from the car although it is advertised differently.

Fleet 3 is an absolute disaster. The LPR services are horrific. Y'all claim you can read a tag at 140mph but only read 30 percent of vehicles going 60-70 mph. This is after the Axon rep tweaked the system, updated it, and brought in a new demo. Maybe this is why Fleet 3 has been pushed back a year now.",7,3/21/2022,Product
"There's still flaws to be worked out in Axon tech, but no one else is really keeping pace. For instance, one problem right now is it's time for us to do a TAP upgrade to AB3 and we're being told it could take up to a year before the cameras are in inventory to roll out.",7,3/18/2022,Sales
"Good System and equipment, but Pricey",8,3/18/2022,Cost
"Great products, product support.  

Not so great sales team.  Revolving door of customer/sale reps in the 5 years we been working with Axon.",7,3/10/2022,Sales
The billing structure has been a nightmare.,7,3/8/2022,Customer Service
"I've been trying since April 2021 to order Flex 2 cameras and mounts, still don't have the parts I need and have called several times and emailed.  My service rep Matthew doesn't seem to know anything about the cameras or accessories no matter how I try to communicate with him.",2,3/8/2022,Sales
Price of products has increased steadily over the course of our contracts.,8,3/7/2022,Cost
"Good products, but investigating costs and purchase is too murky, with vague information provided by uninterested representatives.  Frequent changes to websites and access to information is confusing.",7,3/7/2022,Sales
High cost for products. Difficult process for buying and new equipment. Sales reps trying to sell unnecessary items with simple purchases to get more money.,2,3/4/2022,Cost
High cost for products. Difficult process for buying and new equipment. Sales reps trying to sell unnecessary items with simple purchases to get more money.,2,3/4/2022,Sales
"price point is a bit high. additionally, I have been waiting for a camera update to body 3 for about 8 months according to our contract. My current cameras are now starting to suffer low power retention after about 3.5 years of use.",7,3/3/2022,Cost
"price point is a bit high. additionally, I have been waiting for a camera update to body 3 for about 8 months according to our contract. My current cameras are now starting to suffer low power retention after about 3.5 years of use.",7,3/3/2022,Sales
Im happy with body cam not so much in car,7,3/3/2022,Product
"We ordered Taser's in January on PO 44doc-nv22-10232 and nobody has sent me an ETA for them. I am working with Vince Valentine

Thank you,

 Dave Lethcoe


Nevada Department of Corrections


Purchasing Tech 2",2,3/2/2022,Sales
The website could be simplified.  It is very difficult to navigate and schedule classes,7,3/2/2022,Training
Great software and UI but cost-prohibitive for many agencies.,6,3/2/2022,Cost
"We recently made a purchase from Axon for the new Taser 7's and since we signed that contract our customer service has declined rapidly.  We we still have not received any of our Tasers and had quite and issue trying to get all of our cartridges shipped because of ""paperwork"" on Axons end.  I have been passed back and forth between the sales rep (Doug Bliler) and our new representative (Dave Hill).  I am told I have to deal with David Hill now however we are on the east coast and he is on the west coast so he is rarely available while I need him.  Along with a litany of other issues we have faced so far.",0,3/2/2022,Sales
"We have the X 26P and are going to the Taser 7 someday. The X26P does not seem to be a durable peace of equipment. We have been waiting on the 7 for quite sometime and the response from the salesman is poor to say the least as to when they will arrive. Communication sucks.
I also find it difficult to navigate the website.  Training to be an instructor has been very good",6,3/2/2022,Sales
equipment is great for officers and absolutely love the taser 7 but media storage fees are expensive and several smaller agencies cannot afford those rates.,6,3/2/2022,Cost
good quality training but I feel that a more compressed course could be offered since many of us have taken this training for many years.,8,3/1/2022,Training
"Its a good product, but price point it way high for smaller agencies.",8,3/1/2022,Cost
I would like a user friendly website that makes navigation easy,4,3/1/2022,Others
Some issues but really good product,7,3/1/2022,Product
"System running slow, many bugs/glitches, does not flag some errors that would cause a police report to get rejected by FBI",0,3/1/2022,Product
The new cameras have problem syncing to apple phones and button to turn camera on does work consisterly.,0,3/1/2022,Product
Your website is not user-friendly and trying to set up new products like the Taser 7 and docking station was a pain in the butt with little or no help from tech support.,5,3/1/2022,Customer Service
Your website is not user-friendly and trying to set up new products like the Taser 7 and docking station was a pain in the butt with little or no help from tech support.,5,3/1/2022,Others
"Axon is an amazing company with great products, I just wish Axon would better use their influence, lawyers and good name to be a proactive partner for law enforcement by advocating, supporting, advertising and representing the needs of law enforcement, and publicly defending law enforcement when their product is used correctly but still results in negative media attention. Axon should stand behind their products and whole heartedly stand behind their LE customer base.",7,3/1/2022,Others
The Taser is a great product.  The expense is the main problem.,8,3/1/2022,Cost
"Quality body cam product, RMS not there yet, not granular enough on permissions across the platform, no real support for interview room systems.  Axon does have the only helpdesk that I will refer my officers for their questions and for the times I needed assistance they did a great job.

Axon should quit trying to be all things for public safety.  Stay focused on the core video products.

And above all there are very, very few Axon employees that are informed enough and can speak intelligently about all Axon products in function and administration.  However Matt Karsten and Uri Halioua I always learn or get a quality answer when I speak to either of these gentlemen.  Pay them whatever they ask, they are well worth it.

Jeff Childs is a stand up sales guy, worked with him since we started with Axon in 2015.
Been through too many product managers / customer success executives and none of them were memorable for the assistance they provided.",8,3/1/2022,Product
"We received a large order last year and as an agency, we have had to figure out a lot on how to set up and implement.",4,3/1/2022,Customer Service
"I made the effort to purchase several Taser 7 for our department a couple months ago.....Between the cost of the devices and the assessories needed to certify our 48 officers, the cost seemed unreasonable.  NOTE; I put 'no' on the follow up question below; because I have already spent way too much time on the phone with your sales staff, and our Chief chose to continue on with the X26P.",5,3/1/2022,Cost
The website is horrible.  Signing up for classes is way to complicated.,5,3/1/2022,Training
Lack of customer support and responsiveness.,0,3/1/2022,Customer Service
The products are great such as axon body cam 3 and taser 7. However we are having issues with SSA and still waiting on feed back on how to handle the issues.,8,3/1/2022,Product
The cost of devices and equipment are to expensive for smaller agencies.,5,3/1/2022,Cost
It is the best camera system. Although I preferred the previous version.,8,3/1/2022,Product
Your the only company that offers a law enforcement grade taser,5,3/1/2022,Others
"While I like the products and support team that answers the phone and emails, the website leave more to be desired, very complicated to maneuver requiring a phone call to navigate. The target  marketing focus is on items that are new and geared toward large agencies. As a small agency our funds are very limited and cannot get servers installed so quickly nor can we afford to make this change to upgrade (taser 7). It's a good company overall.",7,3/1/2022,Cost
"While I like the products and support team that answers the phone and emails, the website leave more to be desired, very complicated to maneuver requiring a phone call to navigate. The target  marketing focus is on items that are new and geared toward large agencies. As a small agency our funds are very limited and cannot get servers installed so quickly nor can we afford to make this change to upgrade (taser 7). It's a good company overall.",7,3/1/2022,Others
Great product but sometimes the complexities and nuances of the offerings leave a customer ignorant of everything that might be available.,7,3/1/2022,Product
